idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersFaxNumber,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,tr-org:hasLEI,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,isIncorporatedIn,isDomiciledIn,hasURL,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,hasInactiveDate,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy
https://permid.org/1-5060557600,tr-org:Organization,5060557600,https://permid.org/1-25727409338,https://permid.org/1-25727409339,"21 Grosvenor Place


LONDON
SW1X 7HF
United Kingdom
","Maples Corporate Services Limited
Ugland House
PO Box 309
GRAND CAYMAN
KY1-1104
Cayman Islands
",tr-org:statusInActive,,4.42E+11,,2018-02-13T05:00:00Z,,2017-11-29T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/3580718/,http://sws.geonames.org/2635167/,,Leo Holdings Corp,,,2020-07-15T00:00:00Z,,,,,
https://permid.org/1-5071525193,tr-org:Organization,5071525193,https://permid.org/1-25727356554,https://permid.org/1-25727356580,"Po Box 500, 71 Fort Street


GRAND CAYMAN
KY11106
Cayman Islands
","Cayman Islands
",tr-org:statusActive,,13459494900,tr-org:publiclyHeld,2019-11-26T05:00:00Z,,,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/3580718/,http://sws.geonames.org/3580718/,,Alussa Energy Acquisition Corp,,,,,,,,
https://permid.org/1-5065371456,tr-org:Organization,5065371456,https://permid.org/1-25727392974,https://permid.org/1-25727392975,"7660 Fay Avenue
Suite H, Unit 339

LA JOLLA
CALIFORNIA
92037
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,,16197366855,tr-org:publiclyHeld,2018-10-05T04:00:00Z,,2018-05-21T00:00:00Z,https://permid.org/1-4294952830,https://permid.org/1-4294952723,https://permid.org/1-4294952829,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Grid Dynamics Holdings Inc,13026365454,13026365400,,,,,,
https://permid.org/1-5071553026,tr-org:Organization,5071553026,https://permid.org/1-25727356192,https://permid.org/1-25727356194,"Torre Virreyes
Pedregal No. 24, Piso 6-601
Col. Molino del Rey
MEXICO, D.F.
MEXICO, D.F.
11040
Mexico
","Cayman Islands
",tr-org:statusActive,,5.26E+11,tr-org:publiclyHeld,2019-12-11T05:00:00Z,,2019-10-02T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/3580718/,http://sws.geonames.org/3996063/,,LIV Capital Acquisition Corp,,,,,,,,
https://permid.org/1-5054412488,tr-org:Organization,5054412488,https://permid.org/1-25727437810,https://permid.org/1-21607801584,"5221 N O Connor Blvd Fl 11
IRVING
TEXAS
75039-3714
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,,19724321440,,2017-04-11T04:00:00Z,,2017-02-08T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,https://vantageenergy.com/,Vantage Energy Acquisition Corp,18002535177,18004831140,,,,,,
https://permid.org/1-4295904285,tr-org:Organization,4295904285,,,"58th Floor
153 East 53rd Street
NEW YORK
NEW YORK
10022
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,,12124189600,,,,2006-08-01T00:00:00Z,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Columbus Acquisition Corp,13026555049,13026587581,,,,,,
https://permid.org/1-5042384188,tr-org:Organization,5042384188,,,"United States
",,tr-org:statusActive,,,,,,,https://permid.org/1-4294952739,https://permid.org/1-4294952740,https://permid.org/1-4294952738,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Columbus Recycling Acquisition Corp,,,,,,,,
https://permid.org/1-4295907799,tr-org:Organization,4295907799,,,"5591 Cannes Circle 206




SARASOTA
FLORIDA
34231
","5591 Cannes Circle
206



SARASOTA
FLORIDA
34231
",tr-org:statusActive,,,,,,1991-09-18T00:00:00Z,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Greenstreet Inc,,,,,,,,
https://permid.org/1-4296857160,tr-org:Organization,4296857160,,,"United States
",,tr-org:statusActive,,,,,,,,,,,http://sws.geonames.org/6252001/,,RISCORP HEALTH PLANS INC,,,,,,,,
https://permid.org/1-5000088092,tr-org:Organization,5000088092,https://permid.org/1-21475335465,https://permid.org/1-8590020360,"One Sarasota Tower, 2 North Tamiami Trail, Suite 608
SARASOTA
FLORIDA
34236-5642
","FLORIDA
",tr-org:statusActive,,19413665015,,,,,https://permid.org/1-4294952866,https://permid.org/1-4294952740,https://permid.org/1-4294952865,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Riscorp Inc,,,,,,,,
